maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex.1,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
25,14,0.0,10.2,4,5,75,09:31 PM,09:17 AM,06:45 AM,06:12 PM,14,19,19,19,22,8,74,0.0,1020,19,10,80,18
25,14,0.0,10.2,4,5,75,09:31 PM,09:17 AM,06:45 AM,06:12 PM,14,20,21,20,23,27,69,0.0,1020,20,10,83,19
25,14,0.0,10.2,4,5,75,09:31 PM,09:17 AM,06:45 AM,06:12 PM,14,21,23,21,23,45,63,0.0,1019,21,10,86,20
25,14,0.0,10.2,4,5,75,09:31 PM,09:17 AM,06:45 AM,06:12 PM,14,25,25,22,24,63,58,0.0,1019,22,10,89,21
25,14,0.0,10.2,4,5,75,09:31 PM,09:17 AM,06:45 AM,06:12 PM,14,25,25,23,23,56,56,0.0,1018,23,10,91,20
25,14,0.0,10.2,4,6,75,09:31 PM,09:17 AM,06:45 AM,06:12 PM,14,25,25,24,22,49,53,0.0,1017,24,10,94,19
25,14,0.0,10.2,4,6,75,09:31 PM,09:17 AM,06:45 AM,06:12 PM,14,26,26,25,21,43,51,0.0,1017,25,10,97,18
25,14,0.0,10.2,4,6,75,09:31 PM,09:17 AM,06:45 AM,06:12 PM,14,25,25,24,17,36,53,0.0,1016,24,10,90,14
25,14,0.0,10.2,4,6,75,09:31 PM,09:17 AM,06:45 AM,06:12 PM,14,25,25,24,13,29,56,0.0,1016,23,10,83,10
25,14,0.0,10.2,4,6,75,09:31 PM,09:17 AM,06:45 AM,06:12 PM,15,25,25,23,9,22,58,0.0,1016,23,10,76,6
25,14,0.0,10.2,4,6,75,09:31 PM,09:17 AM,06:45 AM,06:12 PM,14,22,23,22,14,17,60,0.0,1017,22,10,80,9
25,14,0.0,10.2,4,6,75,09:31 PM,09:17 AM,06:45 AM,06:12 PM,14,21,22,21,18,13,61,0.0,1018,21,10,85,11
25,14,0.0,10.2,4,6,75,09:31 PM,09:17 AM,06:45 AM,06:12 PM,13,20,20,20,23,9,63,0.0,1019,20,10,89,14
25,14,0.0,10.2,4,1,75,09:31 PM,09:17 AM,06:45 AM,06:12 PM,13,19,19,19,24,6,67,0.0,1019,19,10,84,14
25,14,0.0,10.2,4,1,75,09:31 PM,09:17 AM,06:45 AM,06:12 PM,12,18,18,18,25,4,70,0.0,1019,18,10,78,14
25,14,0.0,10.2,4,1,75,09:31 PM,09:17 AM,06:45 AM,06:12 PM,12,17,17,17,26,2,74,0.0,1019,17,10,73,15
25,14,0.0,10.2,4,1,75,09:31 PM,09:17 AM,06:45 AM,06:12 PM,12,16,16,16,25,3,77,0.0,1019,16,10,72,14
25,14,0.0,10.2,4,1,75,09:31 PM,09:17 AM,06:45 AM,06:12 PM,13,16,16,16,24,5,80,0.0,1019,16,10,71,14
27,14,0.0,11.6,5,1,68,10:23 PM,09:58 AM,06:46 AM,06:12 PM,13,16,16,16,23,6,84,0.0,1019,15,10,70,14
27,14,0.0,11.6,5,1,68,10:23 PM,09:58 AM,06:46 AM,06:12 PM,13,15,15,15,19,10,87,0.0,1019,15,10,68,11
27,14,0.0,11.6,5,1,68,10:23 PM,09:58 AM,06:46 AM,06:12 PM,13,15,15,15,15,15,90,0.0,1019,14,10,66,9
27,14,0.0,11.6,5,1,68,10:23 PM,09:58 AM,06:46 AM,06:12 PM,14,15,15,15,11,19,93,0.0,1019,14,10,64,6
27,14,0.0,11.6,5,1,68,10:23 PM,09:58 AM,06:46 AM,06:12 PM,14,16,16,16,13,15,86,0.0,1019,15,10,69,9
27,14,0.0,11.6,5,1,68,10:23 PM,09:58 AM,06:46 AM,06:12 PM,14,17,17,17,15,12,80,0.0,1019,17,10,74,12
27,14,0.0,11.6,5,5,68,10:23 PM,09:58 AM,06:46 AM,06:12 PM,13,18,18,18,17,8,73,0.0,1020,18,10,79,14
27,14,0.0,11.6,5,6,68,10:23 PM,09:58 AM,06:46 AM,06:12 PM,13,21,21,21,19,8,62,0.0,1019,20,10,82,17
27,14,0.0,11.6,5,6,68,10:23 PM,09:58 AM,06:46 AM,06:12 PM,12,23,23,23,22,8,52,0.0,1019,23,10,84,19
27,14,0.0,11.6,5,6,68,10:23 PM,09:58 AM,06:46 AM,06:12 PM,11,25,25,25,24,8,41,0.0,1019,25,10,87,21
27,14,0.0,11.6,5,7,68,10:23 PM,09:58 AM,06:46 AM,06:12 PM,11,26,26,26,25,8,39,0.0,1018,26,10,89,22
27,14,0.0,11.6,5,7,68,10:23 PM,09:58 AM,06:46 AM,06:12 PM,11,26,26,26,26,8,38,0.0,1017,26,10,90,22
27,14,0.0,11.6,5,7,68,10:23 PM,09:58 AM,06:46 AM,06:12 PM,11,27,27,27,26,8,37,0.0,1016,27,10,92,23
27,14,0.0,11.6,5,7,68,10:23 PM,09:58 AM,06:46 AM,06:12 PM,12,26,26,26,23,16,42,0.0,1016,26,10,89,19
27,14,0.0,11.6,5,6,68,10:23 PM,09:58 AM,06:46 AM,06:12 PM,13,26,26,25,19,24,48,0.0,1016,24,10,86,15
27,14,0.0,11.6,5,6,68,10:23 PM,09:58 AM,06:46 AM,06:12 PM,13,25,25,24,16,32,53,0.0,1016,23,10,84,11
27,14,0.0,11.6,5,6,68,10:23 PM,09:58 AM,06:46 AM,06:12 PM,14,22,23,22,18,30,60,0.0,1017,22,10,85,12
27,14,0.0,11.6,5,6,68,10:23 PM,09:58 AM,06:46 AM,06:12 PM,14,21,21,21,21,28,67,0.0,1018,21,10,87,13
27,14,0.0,11.6,5,5,68,10:23 PM,09:58 AM,06:46 AM,06:12 PM,15,19,19,19,23,26,75,0.0,1018,19,10,89,14
27,14,0.0,11.6,5,1,68,10:23 PM,09:58 AM,06:46 AM,06:12 PM,15,19,19,19,20,23,79,0.0,1019,19,10,92,12
27,14,0.0,11.6,5,1,68,10:23 PM,09:58 AM,06:46 AM,06:12 PM,15,18,18,18,17,21,84,0.0,1019,18,10,95,10
27,14,0.0,11.6,5,1,68,10:23 PM,09:58 AM,06:46 AM,06:12 PM,16,18,18,18,14,18,89,0.0,1019,17,10,98,8
27,14,0.0,11.6,5,1,68,10:23 PM,09:58 AM,06:46 AM,06:12 PM,16,17,17,17,15,24,91,0.0,1019,17,7,92,9
27,14,0.0,11.6,5,1,68,10:23 PM,09:58 AM,06:46 AM,06:12 PM,16,17,17,17,15,30,93,0.0,1018,17,5,86,9
27,15,0.0,11.6,5,1,60,11:15 PM,10:38 AM,06:46 AM,06:13 PM,16,17,17,17,16,37,94,0.0,1018,16,2,80,9
27,15,0.0,11.6,5,1,60,11:15 PM,10:38 AM,06:46 AM,06:13 PM,15,16,16,16,15,36,95,0.0,1018,16,2,82,9
27,15,0.0,11.6,5,1,60,11:15 PM,10:38 AM,06:46 AM,06:13 PM,15,16,16,16,14,36,96,0.0,1018,15,2,85,8
27,15,0.0,11.6,5,1,60,11:15 PM,10:38 AM,06:46 AM,06:13 PM,15,16,16,16,13,35,97,0.0,1019,15,2,87,7
27,15,0.0,11.6,5,1,60,11:15 PM,10:38 AM,06:46 AM,06:13 PM,15,17,17,17,13,25,90,0.0,1019,16,5,91,9
27,15,0.0,11.6,5,1,60,11:15 PM,10:38 AM,06:46 AM,06:13 PM,15,18,18,18,14,15,83,0.0,1020,17,7,94,11
27,15,0.0,11.6,5,5,60,11:15 PM,10:38 AM,06:46 AM,06:13 PM,15,19,19,19,15,5,76,0.0,1020,19,10,98,13
27,15,0.0,11.6,5,6,60,11:15 PM,10:38 AM,06:46 AM,06:13 PM,14,21,21,21,15,7,65,0.0,1019,21,10,96,13
27,15,0.0,11.6,5,6,60,11:15 PM,10:38 AM,06:46 AM,06:13 PM,13,24,24,23,14,8,53,0.0,1019,23,10,94,12
27,15,0.0,11.6,5,7,60,11:15 PM,10:38 AM,06:46 AM,06:13 PM,12,26,26,26,14,10,42,0.0,1018,25,10,93,12
27,15,0.0,11.6,5,7,60,11:15 PM,10:38 AM,06:46 AM,06:13 PM,11,26,26,26,17,8,39,0.0,1017,26,10,95,14
27,15,0.0,11.6,5,7,60,11:15 PM,10:38 AM,06:46 AM,06:13 PM,10,26,26,27,19,7,36,0.0,1016,26,10,98,17
27,15,0.0,11.6,5,7,60,11:15 PM,10:38 AM,06:46 AM,06:13 PM,10,26,26,27,22,5,33,0.0,1015,27,10,100,19
27,15,0.0,11.6,5,7,60,11:15 PM,10:38 AM,06:46 AM,06:13 PM,10,26,26,26,18,5,37,0.0,1015,26,10,97,15
27,15,0.0,11.6,5,6,60,11:15 PM,10:38 AM,06:46 AM,06:13 PM,11,26,26,25,14,6,41,0.0,1015,25,10,93,11
27,15,0.0,11.6,5,6,60,11:15 PM,10:38 AM,06:46 AM,06:13 PM,12,25,25,25,10,6,45,0.0,1015,24,10,90,7
27,15,0.0,11.6,5,6,60,11:15 PM,10:38 AM,06:46 AM,06:13 PM,12,23,23,23,14,6,51,0.0,1016,22,10,93,9
27,15,0.0,11.6,5,6,60,11:15 PM,10:38 AM,06:46 AM,06:13 PM,12,21,21,21,19,6,56,0.0,1016,21,10,96,11
